url,Course Title,Course Headline,Instructor,Rating,course_length,number_of_lectures,difficulty
https://www.udemy.com/course/cracking-faang-coding-interviews-masterclass-learn-data-structures/,Cracking Coding Interviews Masterclass: C++ Data Structures,Crash Course to Crack your Coding Interview in C++ by Mastering Data Structures in STL,Arnav Rupde,4.3,1 total hour,8 lectures,Intermediate
https://www.udemy.com/course/advanced-data-structures-and-algorithms-linked-lists/,Advanced Data Structures & Algorithms in Java: Linked-List,"Create, Implement and solve problems using the link list data structure with Java programming language",Esther Peters,4.3,3.5 total hours,26 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-in-python-2/,Advanced Data Structures & Algorithms in Python (Graph/Tree),Advanced Data Structures and Algorithms in Python Using Graphs Trees Data Structures Algorithms Python Advanced DSA Algo,Deepali Srivastava,4.5,7 total hours,65 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-in-depth-using-c-sharp/,Data Structures and Algorithms: In Depth using C#,"List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Sorting, Searching - Data Structures & Algorithms C#",Syed Mohiuddin,4.1,28.5 total hours,228 lectures,Beginner
https://www.udemy.com/course/linked-list-data-structures-and-algorithms-for-interviews/,Linked List Data Structures and Algorithms for Interviews,Master Linked Lists algorithms for Programming Interviews,Abhishek Kumar,4.7,5.5 total hours,24 lectures,All Levels
https://www.udemy.com/course/the-data-structures-algorithms-and-time-complexity-guide/,"The Data Structures, Algorithms and Time Complexity Guide",The Definitive Coding Interview Guide: Crack Whiteboard Questions in C# & Recognize Patterns in the Most Popular Topics,"Mammoth Interactive, John Bura",4.9,7 total hours,55 lectures,All Levels
https://www.udemy.com/course/fundamental-data-structures-bootcamp-interviews/,Master Important Data Structures and Algorithms in Java.,"Learn and Master Linked List, Stack, Queue, Hashtable, Heap, Graph, Graph Algorithms, Search Algorithm & Sort Algorithms",Manoranjan Kumar,4.5,15 total hours,126 lectures,All Levels
https://www.udemy.com/course/coding-java-interview-algorithms-data-structure/,Data Structures and Algorithms MasterClass: Coding Interview,Ace your next Java coding interview by mastering in data Structures and algorithms. Deep dive using Java,LevelUp360° DevOps | Google Cloud | Terraform | Kubernetes,4.2,13 total hours,65 lectures,All Levels
https://www.udemy.com/course/tree-data-structure-and-algorithms/,Tree Data Structure and Algorithms,Mastering the art of solving Tree problems and acing the Coding Interviews,Sweet Codey,4.0,2.5 total hours,16 lectures,All Levels
https://www.udemy.com/course/data-structure-with-c-plus-plus/,Data Structure with C++ : Zero to Hero,"Learn about Pointers , Arrays, Linked Lists, Stacks and Queues, Graph, Binary Trees, Heap & Priority Queue, Sorting etc.",Up Degree,4.4,8 total hours,55 lectures,Intermediate
https://www.udemy.com/course/advanced-algorithms-in-java/,Advanced Algorithms (Graph Algorithms) in Java,"Breadth-First Search, Depth-First Search, Shortest Path, Arbitrage, Strongly Connected Components and Maximum Flow",Holczer Balazs,4.6,11 total hours,88 lectures,All Levels
https://www.udemy.com/course/the-swift-arcade-data-structures-and-algorithms-bootcamp/,The Swift Arcade Data Structures and Algorithms Bootcamp,How to ace your Silicon Valley style coding interview,Jonathan Rasmusson,4.7,7 total hours,118 lectures,Beginner
https://www.udemy.com/course/python-solved-interview-ques-on-algorithms-data-structures/,"Python: Solved Interview Ques on Algorithms, Data Structures","Understanding The Solutions For Various Interview Questions On Algorithms, Data structures In Python",Satish Venkatesh,3.8,9.5 total hours,116 lectures,All Levels
https://www.udemy.com/course/data-structure-algorithms-for-beginners-for-data-science/,Learn Data structures & Algorithms using Python for Freshers,Learn to master Data structure Algorithm by understanding concepts through time complexity and implementation in Python3,Chandramouli Jayendran,2.9,19.5 total hours,199 lectures,Beginner
https://www.udemy.com/course/data-structures-and-algorithms-in-depth-using-java/,Data Structures and Algorithms: In Depth using Java,"List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Search, Sorting- Data Structures & Algorithms in Java",Syed Mohiuddin,4.1,28.5 total hours,229 lectures,Beginner
https://www.udemy.com/course/data-structures-and-algorithms-in-c-2/,Advanced Data Structures and Algorithms in C (Graphs/Trees),Advanced Data Structures and Algorithms in C Using Graphs Trees Data Structures Algorithms C Advanced DSA C Leetcode,Deepali Srivastava,4.8,7 total hours,66 lectures,All Levels
https://www.udemy.com/course/algorithms-data-structures/,Algorithms and Data Structures,Develop your programming logic by creating Algorithms and learn how to implement different Data Structures.,Jose Javier Villena,5.0,6 total hours,52 lectures,Intermediate
https://www.udemy.com/course/data-structures-and-algorithm-in-php-part-one/,Data Structures And Algorithms In PHP,"Linked list, Stacks, Queues And Interview Problems",Joshua Melvin Benhar,4.0,4.5 total hours,76 lectures,Beginner
https://www.udemy.com/course/data-structures-and-algorithms-from-0-to-hero/,Data Structures and Algorithms : From 0 to HERO,The best way to train your programming skills,Carmen Mitru,4.0,2 total hours,21 lectures,All Levels
https://www.udemy.com/course/algorithm/,Data Structures and Algorithms - High Level MADE EASY,"Abstract reasoning makes algorithms easy.   Learn about Sort, Search, Trees, Hash Tables, and Heaps.",Gopal Shangari,3.1,8.5 total hours,37 lectures,All Levels
https://www.udemy.com/course/data-structures-and-algorithms-in-python-using-python/,Data Structures and Algorithms in python,"Coding and concepts building of many data structures and algorithms like Linked List, Trees, Stack, Sorts and much more",Muhammad Hamza AbdulRehman,4.0,2.5 total hours,42 lectures,All Levels
https://www.udemy.com/course/learning-javascript-data-structures-and-algorithms/,Learning JavaScript Data Structures and Algorithms ,Find out how data structures and algorithms can be used to solve programming problems using JavaScript,Packt Publishing,3.4,1.5 total hours,15 lectures,Beginner
https://www.udemy.com/course/the-essential-algorithms-and-data-structures/,The Essential Algorithms and Data Structures,Learn how to master the most important algorithms and data structures to become a professional-grade engineer,Anirudh Balasubramanian,3.8,13 total hours,96 lectures,Intermediate
https://www.udemy.com/course/data-structures-and-algorithms-course-1/,Data Structures and Algorithms - Course 1,Master the fundamentals of data structures and algorithms.,Abhishek Kumar,2.4,3.5 total hours,21 lectures,All Levels
https://www.udemy.com/course/data-structures-algorithms-coding-interview/,Data Structures and Algorithms | Coding Interview Q&A,Learn Data Structures & Algorithms from Scratch. + Master Coding Interviews . From basic to advanced.,Darío Leegstra,3.0,12.5 total hours,126 lectures,Beginner
https://www.udemy.com/course/beginning-data-structures-and-algorithms-in-c/,Beginning Data Structures and Algorithms in C#,Explore the possibilities of C# for developing a variety of applications,Packt Publishing,3.9,3 total hours,23 lectures,Intermediate
https://www.udemy.com/course/javascript-data-structure-and-algorithm-crash-course/,JavaScript Data Structure and Algorithm Crash Course,Understanding JavaScript Data Structure and Sorting Algorithms,OnlyKiosk Tech,5.0,2 total hours,33 lectures,Intermediate
